m2,precio
36.6,26300.0
44.4,76700.0
48.7,86200.0
55.2,85500.0
59.6,88900.0
62.5,86200.0
62.9,62600.0
65.0,89700.0
65.1,100000.0
68.2,91600.0
75.7,108800.0
76.8,104900.0
78.0,128400.0
83.8,97300.0
83.9,130200.0
97.0,135200.0
102.2,169300.0
105.1,161800.0
111.2,152600.0
114.6,161000.0
114.7,178300.0
118.3,150900.0
129.0,189300.0
129.4,200100.0
130.3,167400.0
131.8,177700.0
133.7,189700.0
135.3,169200.0
136.0,183900.0
137.3,167300.0
154.2,218800.0
157.3,210800.0
170.8,241400.0
173.4,219200.0
177.9,252500.0
179.0,231700.0
181.7,236200.0
181.9,253700.0
184.9,251600.0
185.6,251700.0
186.6,249200.0
195.1,280100.0
198.0,286500.0
198.6,289000.0
201.4,264300.0
202.4,274600.0
202.9,255800.0
204.0,297700.0
204.2,291500.0
208.0,302100.0
211.9,273700.0
212.9,287800.0
213.9,290400.0
214.0,280600.0
219.6,274200.0
227.0,302600.0
234.3,320800.0
243.0,344100.0
243.7,345200.0
244.8,349000.0
